source_lane,family,baseline_stage,baseline_program_name,baseline_horizon_multiplier,baseline_start,retrieval_horizon_multiplier,scaled_start,comparison_mode,max_steps,boundary_family,cohort,variant_id,variant_group,envelope_rule,program_name,address_signature
R8_d0_retrieval_pressure_gate,checkpoint_replay_long,R6_d0_long_horizon_scaling_gate,bytecode_checkpoint_replay_long_80_a128,8,80,10,100,long_exact_final_state,12800,False,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_checkpoint_replay_long_100_a128,a128
R15_d0_remaining_family_retrieval_pressure_gate,helper_checkpoint_braid,R6_d0_long_horizon_scaling_gate,bytecode_helper_checkpoint_braid_48_a280_s0,8,48,10,60,medium_exact_trace,2560,False,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_helper_checkpoint_braid_60_a280_s0,a280_s0
R8_d0_retrieval_pressure_gate,helper_checkpoint_braid_long,R6_d0_long_horizon_scaling_gate,bytecode_helper_checkpoint_braid_long_144_a312_s0,8,144,10,180,long_exact_final_state,10240,True,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_helper_checkpoint_braid_long_180_a312_s0,a312_s0
R15_d0_remaining_family_retrieval_pressure_gate,indirect_counter_bank,R6_d0_long_horizon_scaling_gate,bytecode_indirect_counter_bank_96_a32_b33,8,96,10,120,long_exact_final_state,5120,False,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_indirect_counter_bank_120_a32_b33,a32_b33
R8_d0_retrieval_pressure_gate,iterated_helper_accumulator,R6_d0_long_horizon_scaling_gate,bytecode_iterated_helper_accumulator_192_a144_b145,8,192,10,240,long_exact_final_state,10240,False,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_iterated_helper_accumulator_240_a144_b145,accumulator_240_a144_b145
R15_d0_remaining_family_retrieval_pressure_gate,stack_memory_braid,R6_d0_long_horizon_scaling_gate,bytecode_stack_memory_braid_80_a112,8,80,10,100,long_exact_final_state,10240,False,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_stack_memory_braid_100_a112,a112
R15_d0_remaining_family_retrieval_pressure_gate,subroutine_braid,R6_d0_long_horizon_scaling_gate,bytecode_subroutine_braid_64_a96,8,64,10,80,medium_exact_trace,5120,False,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_subroutine_braid_80_a96,a96
R8_d0_retrieval_pressure_gate,subroutine_braid_long,R6_d0_long_horizon_scaling_gate,bytecode_subroutine_braid_long_112_a176,8,112,10,140,long_exact_final_state,10240,False,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_subroutine_braid_long_140_a176,a176
R8_d0_retrieval_pressure_gate,checkpoint_replay_long,R6_d0_long_horizon_scaling_gate,bytecode_checkpoint_replay_long_80_a128,8,80,10,100,long_exact_final_state,12800,False,heldout,address_shift_plus_16,address_equivalent,same_endpoint_address_translation,bytecode_checkpoint_replay_long_100_a144,a144
R8_d0_retrieval_pressure_gate,checkpoint_replay_long,R6_d0_long_horizon_scaling_gate,bytecode_checkpoint_replay_long_80_a128,8,80,10,100,long_exact_final_state,12800,False,heldout,address_shift_plus_32,address_equivalent,same_endpoint_address_translation,bytecode_checkpoint_replay_long_100_a160,a160
