source_lane,family,baseline_stage,baseline_program_name,baseline_horizon_multiplier,baseline_start,retrieval_horizon_multiplier,scaled_start,comparison_mode,max_steps,boundary_family,cohort,variant_id,variant_group,envelope_rule,program_name,address_signature,reference_step_count,profile_repeats,memory_operation_count,memory_load_count,memory_store_count,unique_address_count,hottest_address,r17_baseline_lowered_ns_per_step,r17_baseline_linear_ns_per_step,r17_baseline_accelerated_ns_per_step,linear_strategy_id,linear_runtime_mode,linear_stack_strategy,linear_memory_strategy,linear_median_seconds,linear_samples,linear_ns_per_step,linear_exact_trace_match,linear_exact_final_state_match,linear_first_mismatch_step,linear_failure_reason,linear_read_observation_count,linear_memory_read_count,linear_stack_read_count,linear_exact,accelerated_strategy_id,accelerated_runtime_mode,accelerated_stack_strategy,accelerated_memory_strategy,accelerated_median_seconds,accelerated_samples,accelerated_ns_per_step,accelerated_exact_trace_match,accelerated_exact_final_state_match,accelerated_first_mismatch_step,accelerated_failure_reason,accelerated_read_observation_count,accelerated_memory_read_count,accelerated_stack_read_count,accelerated_exact,pointer_like_strategy_id,pointer_like_runtime_mode,pointer_like_stack_strategy,pointer_like_memory_strategy,pointer_like_median_seconds,pointer_like_samples,pointer_like_ns_per_step,pointer_like_exact_trace_match,pointer_like_exact_final_state_match,pointer_like_first_mismatch_step,pointer_like_failure_reason,pointer_like_read_observation_count,pointer_like_memory_read_count,pointer_like_stack_read_count,pointer_like_exact,accelerated_speedup_vs_linear,pointer_like_speedup_vs_linear,pointer_like_speedup_vs_current_accelerated,pointer_like_speedup_vs_r17_accelerated,current_accelerated_ratio_vs_r17_accelerated,selection_bucket,selection_reason
R8_d0_retrieval_pressure_gate,checkpoint_replay_long,R6_d0_long_horizon_scaling_gate,bytecode_checkpoint_replay_long_80_a128,8,80,10,100,long_exact_final_state,12800,False,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_checkpoint_replay_long_100_a128,a128,3126,1,1313,904,409,9,128,7395.617407940266,20694172.392812006,27988615.06716357,linear_exact,r17_frozen_baseline_reuse,linear,linear,64.68998289993033,[],20694172.392812006,True,True,,,0,0,0,True,accelerated,measured,accelerated,accelerated,51.28739900002256,[51.28739900002256],16406717.530397492,True,True,,,3084,904,2180,True,pointer_like_exact,measured,pointer_like_exact,pointer_like_exact,0.07314760005101562,[0.07314760005101562],23399.744098213567,True,True,,,3084,904,2180,True,1.2613231351408924,884.3760130860527,701.1494425552307,1196.1077415927955,0.5861925461844649,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set
R15_d0_remaining_family_retrieval_pressure_gate,helper_checkpoint_braid,R6_d0_long_horizon_scaling_gate,bytecode_helper_checkpoint_braid_48_a280_s0,8,48,10,60,medium_exact_trace,2560,False,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_helper_checkpoint_braid_60_a280_s0,a280_s0,1608,1,728,422,306,6,280,7825.497516421648,13870391.542302208,13159439.116916202,linear_exact,r17_frozen_baseline_reuse,linear,linear,22.30358960002195,[],13870391.542302208,True,True,,,0,0,0,True,accelerated,measured,accelerated,accelerated,12.989235899993218,[12.989235899993218],8077883.022383843,True,True,,,1391,422,969,True,pointer_like_exact,measured,pointer_like_exact,pointer_like_exact,0.03571740002371371,[0.03571740002371371],22212.313447583154,True,True,,,1391,422,969,True,1.7170824959791202,624.4460566898491,363.66689320525364,592.4389257323413,0.6138470607003214,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set
R8_d0_retrieval_pressure_gate,helper_checkpoint_braid_long,R6_d0_long_horizon_scaling_gate,bytecode_helper_checkpoint_braid_long_144_a312_s0,8,144,10,180,long_exact_final_state,10240,True,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_helper_checkpoint_braid_long_180_a312_s0,a312_s0,4788,1,2168,1262,906,6,312,25647.786137030933,44888676.879704796,44068103.13283871,linear_exact,r17_frozen_baseline_reuse,linear,linear,214.92698490002655,[],44888676.879704796,True,True,,,0,0,0,True,accelerated,measured,accelerated,accelerated,127.11762250005268,[127.11762250005268],26549211.04846547,True,True,,,4151,1262,2889,True,pointer_like_exact,measured,pointer_like_exact,pointer_like_exact,0.20766040007583797,[0.20766040007583797],43371.01087632372,True,True,,,4151,1262,2889,True,1.6907725354911944,1034.992636157567,612.1418549402249,1016.0727694012669,0.6024586755739324,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set
R15_d0_remaining_family_retrieval_pressure_gate,indirect_counter_bank,R6_d0_long_horizon_scaling_gate,bytecode_indirect_counter_bank_96_a32_b33,8,96,10,120,long_exact_final_state,5120,False,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_indirect_counter_bank_120_a32_b33,a32_b33,1934,1,604,362,242,2,32,7697.259607573637,22073664.374357224,22947508.32474618,linear_exact,r17_frozen_baseline_reuse,linear,linear,42.69046690000687,[],22073664.374357224,True,True,,,0,0,0,True,accelerated,measured,accelerated,accelerated,31.81589410000015,[31.81589410000015],16450824.250258608,True,True,,,1931,362,1569,True,pointer_like_exact,measured,pointer_like_exact,pointer_like_exact,0.05676669999957085,[0.05676669999957085],29351.964839488544,True,True,,,1931,362,1569,True,1.34179686309701,752.0336200682726,560.4675646151824,781.8048451009946,0.7168893466537426,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set
R8_d0_retrieval_pressure_gate,iterated_helper_accumulator,R6_d0_long_horizon_scaling_gate,bytecode_iterated_helper_accumulator_192_a144_b145,8,192,10,240,long_exact_final_state,10240,False,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_iterated_helper_accumulator_240_a144_b145,accumulator_240_a144_b145,3610,1,1444,962,482,2,144,6923.213287661693,28249906.509672225,25234207.28534109,linear_exact,r17_frozen_baseline_reuse,linear,linear,101.98216249991674,[],28249906.509672225,True,True,,,0,0,0,True,accelerated,measured,accelerated,accelerated,66.06795950001106,[66.06795950001106],18301373.822717745,True,True,,,3127,962,2165,True,pointer_like_exact,measured,pointer_like_exact,pointer_like_exact,0.07448509999085218,[0.07448509999085218],20632.991687216672,True,True,,,3127,962,2165,True,1.5435948570486675,1369.161919799283,886.995647560722,1223.0028329326153,0.7252605011828238,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set
R15_d0_remaining_family_retrieval_pressure_gate,stack_memory_braid,R6_d0_long_horizon_scaling_gate,bytecode_stack_memory_braid_80_a112,8,80,10,100,long_exact_final_state,10240,False,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_stack_memory_braid_100_a112,a112,1970,1,1009,703,306,6,112,6608.680235742009,14056370.203054704,10562239.796972744,linear_exact,r17_frozen_baseline_reuse,linear,linear,27.691049300017767,[],14056370.203054704,True,True,,,0,0,0,True,accelerated,measured,accelerated,accelerated,19.633802099968307,[19.633802099968307],9966397.005060054,True,True,,,2014,703,1311,True,pointer_like_exact,measured,pointer_like_exact,pointer_like_exact,0.06502249999903142,[0.06502249999903142],33006.34517717331,True,True,,,2014,703,1311,True,1.410376307096549,425.8687269857396,301.95397132163134,320.0063424252568,0.9435874584021975,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set
R15_d0_remaining_family_retrieval_pressure_gate,subroutine_braid,R6_d0_long_horizon_scaling_gate,bytecode_subroutine_braid_64_a96,8,64,10,80,medium_exact_trace,5120,False,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_subroutine_braid_80_a96,a96,1576,1,647,403,244,4,96,7215.989836335636,9464979.124403805,6710056.598971333,linear_exact,r17_frozen_baseline_reuse,linear,linear,14.916807100060396,[],9464979.124403805,True,True,,,0,0,0,True,accelerated,measured,accelerated,accelerated,9.992413199972361,[9.992413199972361],6340363.705566219,True,True,,,1292,403,889,True,pointer_like_exact,measured,pointer_like_exact,pointer_like_exact,0.02942479995545,[0.02942479995545],18670.55834736675,True,True,,,1292,403,889,True,1.4928132775876057,506.94676336440267,339.5915423418737,359.39239063612166,0.9449046534925221,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set
R8_d0_retrieval_pressure_gate,subroutine_braid_long,R6_d0_long_horizon_scaling_gate,bytecode_subroutine_braid_long_112_a176,8,112,10,140,long_exact_final_state,10240,False,admitted,r17_admitted_surface,admitted_surface,r17_admitted_runtime_surface,bytecode_subroutine_braid_long_140_a176,a176,2746,1,1127,703,424,4,176,11838.455949024788,24324999.963591665,23110704.11507948,linear_exact,r17_frozen_baseline_reuse,linear,linear,66.79644990002271,[],24324999.963591665,True,True,,,0,0,0,True,accelerated,measured,accelerated,accelerated,33.03477789997123,[33.03477789997123],12030144.901664687,True,True,,,2252,703,1549,True,pointer_like_exact,measured,pointer_like_exact,pointer_like_exact,0.09962970006745309,[0.09962970006745309],36281.755304971986,True,True,,,2252,703,1549,True,2.0220039045602567,670.4471643977548,331.57560323483295,636.9786665727397,0.520544282933169,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set
R8_d0_retrieval_pressure_gate,checkpoint_replay_long,R6_d0_long_horizon_scaling_gate,bytecode_checkpoint_replay_long_80_a128,8,80,10,100,long_exact_final_state,12800,False,heldout,address_shift_plus_16,address_equivalent,same_endpoint_address_translation,bytecode_checkpoint_replay_long_100_a144,a144,3126,1,1313,904,409,9,144,,,,linear_exact,reference_only_not_profiled,linear,linear,0.0,[],,True,True,,,0,0,0,True,accelerated,measured,accelerated,accelerated,53.62941779999528,[53.62941779999528],17155923.80038237,True,True,,,3084,904,2180,True,pointer_like_exact,measured,pointer_like_exact,pointer_like_exact,0.2735771000152454,[0.2735771000152454],87516.66667154363,True,True,,,3084,904,2180,True,,,196.03036144840604,,,heldout_family_focus,select the exact heldout row with the lowest pointer-like speedup for this family
R15_d0_remaining_family_retrieval_pressure_gate,helper_checkpoint_braid,R6_d0_long_horizon_scaling_gate,bytecode_helper_checkpoint_braid_48_a280_s0,8,48,10,60,medium_exact_trace,2560,False,heldout,address_shift_plus_16,address_equivalent,same_endpoint_address_translation,bytecode_helper_checkpoint_braid_60_a296_s0,a296_s0,1608,1,728,422,306,6,296,,,,linear_exact,reference_only_not_profiled,linear,linear,0.0,[],,True,True,,,0,0,0,True,accelerated,measured,accelerated,accelerated,13.442920200061053,[13.442920200061053],8360025.000037968,True,True,,,1391,422,969,True,pointer_like_exact,measured,pointer_like_exact,pointer_like_exact,0.06003789999522269,[0.06003789999522269],37337.00248459123,True,True,,,1391,422,969,True,,,223.90723528189238,,,heldout_family_focus,select the exact heldout row with the lowest pointer-like speedup for this family
