source_runtime_stage,family,cohort,variant_id,variant_group,program_name,selection_bucket,selection_reason,comparison_mode,max_steps,boundary_family,memory_operation_count,unique_address_count,hottest_address,strategy_id,control_class,implementation_state,runtime_mode,expected_behavior,profile_repeats,median_seconds,samples,ns_per_step,exact_trace_match,exact_final_state_match,first_mismatch_step,failure_reason,read_observation_count,memory_read_count,stack_read_count,exact,retrieval_seconds,non_retrieval_seconds,retrieval_share,ns_per_read,speedup_vs_imported_accelerated,speedup_vs_imported_linear
r19_d0_pointer_like_surface_generalization_gate,checkpoint_replay_long,admitted,r17_admitted_surface,admitted_surface,bytecode_checkpoint_replay_long_100_a128,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set,long_exact_final_state,12800,False,1313,9,128,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact,1,64.68998289993033,[],20694172.392812006,True,True,,,0,0,0,True,,,,,0.7928182494554005,1.0
r19_d0_pointer_like_surface_generalization_gate,checkpoint_replay_long,admitted,r17_admitted_surface,admitted_surface,bytecode_checkpoint_replay_long_100_a128,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set,long_exact_final_state,12800,False,1313,9,128,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact,1,51.28739900002256,[51.28739900002256],16406717.530397492,True,True,,,3084,904,2180,True,,,,,1.0,1.2613231351408924
r20_d0_runtime_mechanism_ablation_matrix,checkpoint_replay_long,admitted,r17_admitted_surface,admitted_surface,bytecode_checkpoint_replay_long_100_a128,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set,long_exact_final_state,12800,False,1313,9,128,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact,1,0.09920850000344217,[0.09920850000344217],31736.564300525322,True,True,,,3084,904,2180,True,0.0032167984172701836,0.09599170158617198,0.032424625079086694,1043.0604465856627,516.9657740843081,652.0608909285579
r20_d0_runtime_mechanism_ablation_matrix,checkpoint_replay_long,admitted,r17_admitted_surface,admitted_surface,bytecode_checkpoint_replay_long_100_a128,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set,long_exact_final_state,12800,False,1313,9,128,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness,1,0.0006651000585407019,[0.0006651000585407019],,False,False,,ReplayMismatch: Memory read mismatch at step 18: 0 != 100,0,0,0,False,4.889990668743849e-05,,,,,
r20_d0_runtime_mechanism_ablation_matrix,checkpoint_replay_long,admitted,r17_admitted_surface,admitted_surface,bytecode_checkpoint_replay_long_100_a128,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set,long_exact_final_state,12800,False,1313,9,128,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness,1,0.0006334000499919057,[0.0006334000499919057],,False,False,,ReplayMismatch: Memory read mismatch at step 18: 0 != 100,0,0,0,False,2.9400107450783253e-05,,,,,
r19_d0_pointer_like_surface_generalization_gate,helper_checkpoint_braid,admitted,r17_admitted_surface,admitted_surface,bytecode_helper_checkpoint_braid_60_a280_s0,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set,medium_exact_trace,2560,False,728,6,280,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact,1,22.30358960002195,[],13870391.542302208,True,True,,,0,0,0,True,,,,,0.582383200773226,1.0
r19_d0_pointer_like_surface_generalization_gate,helper_checkpoint_braid,admitted,r17_admitted_surface,admitted_surface,bytecode_helper_checkpoint_braid_60_a280_s0,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set,medium_exact_trace,2560,False,728,6,280,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact,1,12.989235899993218,[12.989235899993218],8077883.022383843,True,True,,,1391,422,969,True,,,,,1.0,1.7170824959791202
r20_d0_runtime_mechanism_ablation_matrix,helper_checkpoint_braid,admitted,r17_admitted_surface,admitted_surface,bytecode_helper_checkpoint_braid_60_a280_s0,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set,medium_exact_trace,2560,False,728,6,280,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact,1,0.037531099980697036,[0.037531099980697036],23340.23630640363,True,True,,,1391,422,969,True,0.0012314000632613897,0.036299699917435646,0.032810124507267904,885.262446629324,346.09259804998607,594.2695420995685
r20_d0_runtime_mechanism_ablation_matrix,helper_checkpoint_braid,admitted,r17_admitted_surface,admitted_surface,bytecode_helper_checkpoint_braid_60_a280_s0,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set,medium_exact_trace,2560,False,728,6,280,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness,1,0.06191340007353574,[0.06191340007353574],,False,False,,RuntimeError: Maximum step budget exceeded for program 'bytecode_helper_checkpoint_braid_60_a280_s0'.,0,0,0,False,0.005403101094998419,,,,,
r20_d0_runtime_mechanism_ablation_matrix,helper_checkpoint_braid,admitted,r17_admitted_surface,admitted_surface,bytecode_helper_checkpoint_braid_60_a280_s0,admitted_regression_gate,preserve every admitted R19 row as the no-regression comparator set,medium_exact_trace,2560,False,728,6,280,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness,1,0.0005636001005768776,[0.0005636001005768776],,False,False,,ReplayMismatch: Memory read mismatch at step 12: 0 != 60,0,0,0,False,1.5699886716902256e-05,,,,,
